GEOID,avg_annual_crimes,population,crimes_per_1k
17031710700,567.6666666666666,3412,166.4
17031710800,985.6666666666666,4536,217.3
17031710900,660.6,2151,307.1
17031711000,610.6666666666666,3779,161.6
17031711100,476.2,2808,169.6
17031711200,519.2666666666667,4869,106.6
17031711300,210.46666666666667,1618,130.1
17031711400,478.1333333333333,2728,175.3
17031711500,359.46666666666664,2628,136.8
17031720100,139.53333333333333,3370,41.4
17031720200,286.46666666666664,4097,69.9
17031720300,192.93333333333334,3614,53.4
17031720400,72.53333333333333,1872,38.7
17031720500,68.13333333333334,1833,37.2
17031720600,72.46666666666667,1860,39.0
17031720700,201.26666666666668,3135,64.2
17031730100,267.06666666666666,2669,100.1
17031730201,713.6,5671,125.8
17031730202,299.2,3093,96.7
17031730300,175.26666666666668,1042,168.2
17031730400,575.1333333333333,4070,141.3
17031730500,594.3333333333334,4053,146.6
17031730600,403.8666666666667,3570,113.1
17031730700,451.6,2288,197.4
17031740100,151.66666666666666,3075,49.3
17031740200,141.2,6473,21.8
17031740300,139.33333333333334,5043,27.6
17031740400,176.53333333333333,4530,39.0
17031750100,497.06666666666666,3636,136.7
17031750200,195.8,3141,62.3
17031750300,108.2,2546,42.5
17031750400,155.13333333333333,2790,55.6
17031750500,780.5333333333333,4761,163.9
17031750600,610.8,3844,158.9
17031760801,133.8,4718,28.4
17031760802,42.733333333333334,2191,19.5
17031760803,215.6,6862,31.4
17031770500,1.6,4225,0.4
17031770602,5.6,4586,1.2
17031770700,36.53333333333333,2290,16.0
17031770800,0.4666666666666667,5773,0.1
17031770901,0.26666666666666666,4796,0.1
17031770902,1.1333333333333333,3816,0.3
17031805402,0.06666666666666667,4907,0.0
17031805502,0.13333333333333333,4335,0.0
17031807800,0.13333333333333333,2718,0.0
17031808002,1.1333333333333333,5339,0.2
17031808100,1.3333333333333333,3837,0.3
17031810200,2.533333333333333,6699,0.4
17031810301,6.133333333333334,4604,1.3
17031810400,22.666666666666668,5726,4.0
17031810501,0.26666666666666666,5259,0.1
17031810502,0.6,5846,0.1
17031810600,0.7333333333333333,4783,0.2
17031810800,0.4666666666666667,5309,0.1
17031810900,1.2,6324,0.2
17031812100,0.6,4836,0.1
17031812200,1.0,3758,0.3
17031812500,0.26666666666666666,3427,0.1
17031813000,0.13333333333333333,3828,0.0
17031813100,0.06666666666666667,4729,0.0
17031813301,1.0,3292,0.3
17031813400,4.466666666666667,8214,0.5
17031820300,0.3333333333333333,5771,0.1
17031820800,0.06666666666666667,3431,0.0
17031820901,0.2,5010,0.0
17031820902,0.06666666666666667,6142,0.0
17031821102,1.9333333333333333,4589,0.4
17031821200,0.6,5323,0.1
17031821402,2.6,3375,0.8
17031821600,0.6,4269,0.1
17031822802,0.13333333333333333,3651,0.0
17031823304,2.533333333333333,6282,0.4
17031823400,0.13333333333333333,4646,0.0
17031830500,325.73333333333335,3948,82.5
17031830600,389.4,4788,81.3
17031830700,915.4666666666667,4249,215.5
17031830800,144.73333333333332,2415,59.9
17031830900,526.2,2957,178.0
17031831000,195.86666666666667,2224,88.1
17031831100,608.0,7191,84.6
17031831200,334.06666666666666,4710,70.9
17031831300,491.0,1176,417.5
17031831400,732.9333333333333,2962,247.4
17031831500,457.2,3859,118.5
17031831600,403.53333333333336,7221,55.9
17031831700,296.2,2224,133.2
17031831800,350.6,7918,44.3
